Sim_ID,Seed,Population,Nei_size,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD
1,1,129,6.2,0.05,4,1,0.1,constant,0.5,openly-listen,8.7,33.7,8.23,11.5,0.466
2,1,129,6.2,0.05,4,1,0.1,constant,0.5,vaguely-speak,8.7,33.7,8.23,11.5,0.466
3,1,129,6.2,0.05,4,1,0.1,constant,0.9,openly-listen,8.8,35.5,7.49,12.7,0.467
4,1,129,6.2,0.05,4,1,0.1,constant,0.9,vaguely-speak,8.8,35.5,7.49,12.7,0.467
5,1,129,6.2,0.05,4,1,0.1,constant,1,openly-listen,9.1,37.9,6.6,14.5,0.463
6,1,129,6.2,0.05,4,1,0.1,constant,1,vaguely-speak,9.1,37.9,6.6,14.5,0.463
7,1,129,6.2,0.05,4,1,0.1,uniform,0.5,openly-listen,26,57,3,32.8,0.5
8,1,129,6.2,0.05,4,1,0.1,uniform,0.5,vaguely-speak,15.7,42.5,5.3,18.2,0.448
9,1,129,6.2,0.05,4,1,0.1,uniform,0.9,openly-listen,37.8,64.3,2.38,41.6,0.461
10,1,129,6.2,0.05,4,1,0.1,uniform,0.9,vaguely-speak,22.4,47.7,4.25,22.9,0.426
11,1,129,6.2,0.05,4,1,0.1,uniform,1,openly-listen,11.3,43.2,5.13,18.8,0.479
12,1,129,6.2,0.05,4,1,0.1,uniform,1,vaguely-speak,10.4,35.7,7.4,12.8,0.457
13,1,129,6.2,0.05,4,1,0.2,constant,0.5,openly-listen,55.7,78.6,1.6,62.3,0.387
14,1,129,6.2,0.05,4,1,0.2,constant,0.5,vaguely-speak,55.7,78.6,1.6,62.3,0.387
15,1,129,6.2,0.05,4,1,0.2,constant,0.9,openly-listen,67.6,84.6,1.38,72.2,0.357
16,1,129,6.2,0.05,4,1,0.2,constant,0.9,vaguely-speak,67.6,84.6,1.38,72.2,0.357
17,1,129,6.2,0.05,4,1,0.2,constant,1,openly-listen,62.7,82.3,1.46,68.3,0.365
18,1,129,6.2,0.05,4,1,0.2,constant,1,vaguely-speak,62.7,82.3,1.46,68.3,0.365
19,1,129,6.2,0.05,4,1,0.2,uniform,0.5,openly-listen,61.4,74.5,1.78,55.9,0.101
20,1,129,6.2,0.05,4,1,0.2,uniform,0.5,vaguely-speak,92.4,96.5,1.06,93.9,0.196
21,1,129,6.2,0.05,4,1,0.2,uniform,0.9,openly-listen,60.3,82.8,1.44,69.1,0.329
22,1,129,6.2,0.05,4,1,0.2,uniform,0.9,vaguely-speak,89.7,95.8,1.08,92.4,0.232
23,1,129,6.2,0.05,4,1,0.2,uniform,1,openly-listen,45.7,65.2,2.31,42.8,0.29
24,1,129,6.2,0.05,4,1,0.2,uniform,1,vaguely-speak,94.7,98.1,1.03,96.9,0.156
25,1,129,6.2,0.05,4,1,0.3,constant,0.5,openly-listen,97.3,98.8,1.02,98.4,0.114
26,1,129,6.2,0.05,4,1,0.3,constant,0.5,vaguely-speak,97.3,98.8,1.02,98.4,0.114
27,1,129,6.2,0.05,4,1,0.3,constant,0.9,openly-listen,87.3,94.3,1.12,89.6,0.232
28,1,129,6.2,0.05,4,1,0.3,constant,0.9,vaguely-speak,87.3,94.3,1.12,89.6,0.232
29,1,129,6.2,0.05,4,1,0.3,constant,1,openly-listen,89.9,95.1,1.1,91.1,0.208
30,1,129,6.2,0.05,4,1,0.3,constant,1,vaguely-speak,89.9,95.1,1.1,91.1,0.208
31,1,129,6.2,0.05,4,1,0.3,uniform,0.5,openly-listen,72.8,84.6,1.38,72.2,0.075
32,1,129,6.2,0.05,4,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0
33,1,129,6.2,0.05,4,1,0.3,uniform,0.9,openly-listen,39,54.1,3.33,29.5,0.221
34,1,129,6.2,0.05,4,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0
35,1,129,6.2,0.05,4,1,0.3,uniform,1,openly-listen,24.7,43.3,5.13,18.9,0.287
36,1,129,6.2,0.05,4,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0.003
85,1,129,25,0.05,16,1,0.1,constant,0.5,openly-listen,41.5,53.6,3.39,29,0.474
86,1,129,25,0.05,16,1,0.1,constant,0.5,vaguely-speak,41.5,53.6,3.39,29,0.474
87,1,129,25,0.05,16,1,0.1,constant,0.9,openly-listen,46.6,57,3,32.8,0.471
88,1,129,25,0.05,16,1,0.1,constant,0.9,vaguely-speak,46.6,57,3,32.8,0.471
89,1,129,25,0.05,16,1,0.1,constant,1,openly-listen,48.3,56.7,3.04,32.4,0.477
90,1,129,25,0.05,16,1,0.1,constant,1,vaguely-speak,48.3,56.7,3.04,32.4,0.477
91,1,129,25,0.05,16,1,0.1,uniform,0.5,openly-listen,63,85.1,1.37,73,0.286
92,1,129,25,0.05,16,1,0.1,uniform,0.5,vaguely-speak,76.9,70.8,1.97,50.5,0.474
93,1,129,25,0.05,16,1,0.1,uniform,0.9,openly-listen,78.2,92.5,1.16,86.2,0.18
94,1,129,25,0.05,16,1,0.1,uniform,0.9,vaguely-speak,77.1,74.4,1.78,55.7,0.504
95,1,129,25,0.05,16,1,0.1,uniform,1,openly-listen,39.3,64.9,2.33,42.5,0.501
96,1,129,25,0.05,16,1,0.1,uniform,1,vaguely-speak,77,73.7,1.82,54.7,0.468
