"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormationLite-Networkfree.nlogo"
"robCheck040"
"05/06/2022 11:07:19:883 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","id_threshold","opinions","boundary","conformity-level","record?","updating","set-seed?","polar_repeats","model","max-ticks","Centroids_change","boundary-drawn","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","record-length","centroid_color?","use_identity?","conformity-drawn","N_centroids","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","threshold_drawn","X-opinion","Y-opinion","[step]","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"3","31","0.39","1","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.517","0.672","-0.03796688635306391","0","0","0","0.7021188951257541","0","0","0","-0.4346477642715251","0","0","0","-0.723861357086389","0","0","0","0.7149999999999999","0","0","0"
"2","31","0.39","1","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.429","0.411","0.032777597967114956","0","0","0","0.5368665927839629","0","0","0","-0.171","0","0","0","-0.7119999999999995","0","0","0","0.5659999999999998","0","0","0"
"6","31","0.39","1","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.44","0.407","0.03175193798449607","0","0","0","0.5508861331840692","0","0","0","-0.22399999999999998","0","0","0","-0.22400000000000003","0","0","0","0.583","0","0","0"
"4","31","0.39","1","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.431","0.417","0.027138134900192984","0","0","0","0.53845126795873","0","0","0","-0.19015780201948138","0","0","0","-0.7119999999999996","0","0","0","0.5649999999999998","0","0","0"
"1","31","0.39","1","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.467","0.591","-0.16935181834188454","0","0","0","0.6095036881180783","0","0","0","-0.4380255273981671","0","0","0","-0.7699999999999765","0","0","0","0.444106484856725","0","0","0"
"5","31","0.39","1","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.337","0.394","0.1962282670470061","0","0","0","0.46316717918974143","0","0","0","-0.174","0","0","0","-0.17400000504855495","0","0","0","0.6961116204112285","0","0","0"
"9","31","0.39","1","0.22","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.428","0.422","-0.0408767889687942","0","0","0","0.4516499733234008","0","0","0","-0.429","0","0","0","-0.452","0","0","0","0.43099999999999994","0","0","0"
"13","31","0.39","1","0.28","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.055","0.008","0.2069108424781981","0","0","0","0.181000280828429","0","0","0","0.2342489410375748","0","0","0","0.22310581415917335","0","0","0","0.24501405793042347","0","0","0"
"11","31","0.39","1","0.22","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.431","0.421","-0.0011002220740291807","0","0","0","0.45596776314821635","0","0","0","-0.20200000000000015","0","0","0","-0.417","0","0","0","0.477","0","0","0"
"8","31","0.39","1","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","0.12555370426410412","0","0","0","0.006854082945052556","0","0","0","0.12600000002169578","0","0","0","0.12600000000000022","0","0","0","0.12600003555305644","0","0","0"
"7","31","0.39","1","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.488","0.488","0.01647636039007873","0","0","0","0.5206715970702278","0","0","0","-0.434","0","0","0","-0.45699999999999996","0","0","0","0.5609999999999999","0","0","0"
"15","31","0.39","1","0.28","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.078","0.007","0.21756047637787035","0","0","0","0.1961107236498246","0","0","0","0.2543068399977245","0","0","0","0.24909078953131353","0","0","0","0.25965311314940565","0","0","0"
"10","31","0.39","1","0.22","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","0.13065064662289236","0","0","0","0.004579715040027573","0","0","0","0.13100000000000003","0","0","0","0.131","0","0","0","0.13100000000000003","0","0","0"
"16","31","0.39","1","0.28","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","0.10370230539357939","0","0","0","0.0038966003252904197","0","0","0","0.10400000000000001","0","0","0","0.104","0","0","0","0.10400000000000001","0","0","0"
"12","31","0.39","1","0.22","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.534","0.537","0.00953488372093017","0","0","0","0.5377799568380583","0","0","0","-0.4899999999999999","0","0","0","-0.49","0","0","0","0.584","0","0","0"
"14","31","0.39","1","0.28","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","0.10460039718018008","0","0","0","0.005900252304570031","0","0","0","0.10500000000000001","0","0","0","0.105","0","0","0","0.10500000000002893","0","0","0"
"17","31","0.39","1","0.28","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.443","0.449","-0.06630258788435153","0","0","0","0.4631478863358941","0","0","0","-0.492","0","0","0","-0.49200000000000005","0","0","0","0.423","0","0","0"
"18","31","0.39","1","0.28","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","0.007000000000000007","0","0","0","3.611532606427501E-17","0","0","0","0.007","0","0","0","0.006999999999999999","0","0","0","0.007","0","0","0"
"19","31","0.39","1","0.34","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.06","0.007","0.21959749528549347","0","0","0","0.18923055646728837","0","0","0","0.228","0","0","0","0.22","0","0","0","0.26099999999999995","0","0","0"
"20","31","0.39","1","0.34","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","0.1006161038689693","0","0","0","0.0057468183140578204","0","0","0","0.10100000000000002","0","0","0","0.101","0","0","0","0.10100000000000885","0","0","0"
"21","31","0.39","1","0.34","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.07","0.031","0.1487920261476175","0","0","0","0.19934152207587136","0","0","0","0.15700000000000003","0","0","0","0.14900000000000002","0","0","0","0.196","0","0","0"
"23","31","0.39","1","0.34","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0.536","0.536","-0.0454324515035568","0","0","0","0.5449449038964328","0","0","0","-0.5446329558200792","0","0","0","-0.5489874974988604","0","0","0","0.5349999999999999","0","0","0"
"25","31","0.39","2","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.358","0.178","0.1020852713178294","0.06250387596899222","0","0","0.6072457419443106","0.5726798042431602","0","0","0.071","0.097","0","0","-0.42400000000000004","-0.431","0","0","0.6995","0.532","0","0","0.338","0.165","0.1521875359633884","-0.023785012407614787","0","0","0.5272300306029504","0.45432284082619023","0","0","0.49460969770919583","0.1682486972257655","0","0","-0.36767758629080727","-0.526037448804353","0","0","0.5064395008465634","0.17655220738604915","0","0"
"22","31","0.39","1","0.34","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","0.09971044939001318","0","0","0","0.003799677692281152","0","0","0","0.10000000000000002","0","0","0","0.1","0","0","0","0.10000000000000002","0","0","0"
"27","31","0.39","2","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.358","0.178","0.1020852713178294","0.06250387596899222","0","0","0.6072457419443106","0.5726798042431602","0","0","0.071","0.097","0","0","-0.42400000000000004","-0.431","0","0","0.6995","0.532","0","0","0.429","0.198","0.010218914915540054","0.1428566151100694","0","0","0.6247025041994565","0.5753683027917","0","0","-0.046943718130462546","0.6033805959750775","0","0","-0.47078328477498116","-0.5123149503015539","0","0","0.581996287902721","0.6787767216586763","0","0"
"24","31","0.39","1","0.34","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.413","0.36","0.019573643410852708","0","0","0","0.5925377068064135","0","0","0","-0.016","0","0","0","-0.498","0","0","0","0.529","0","0","0","0","0","-0.005000000000000002","0","0","0","3.03951974838998E-17","0","0","0","-0.005","0","0","0","-0.005000000000000001","0","0","0","-0.005","0","0","0"
"26","31","0.39","2","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.358","0.178","0.1020852713178294","0.06250387596899222","0","0","0.6072457419443106","0.5726798042431602","0","0","0.071","0.097","0","0","-0.42400000000000004","-0.431","0","0","0.6995","0.532","0","0","0.379","0.206","0.14273592807145752","0.05796597845742628","0","0","0.5427842666843183","0.4818752963108347","0","0","0.6009995647879804","0.4149999999999999","0","0","-0.3410000000000001","-0.374","0","0","0.6010000000000002","0.41500000542451715","0","0"
"28","31","0.39","2","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.358","0.178","0.1020852713178294","0.06250387596899222","0","0","0.6072457419443106","0.5726798042431602","0","0","0.071","0.097","0","0","-0.42400000000000004","-0.431","0","0","0.6995","0.532","0","0","0.395","0.2","0.13569224214276757","0.06151602000804448","0","0","0.5316574598857874","0.48075185955667765","0","0","0.5849999783525829","0.42699999999999994","0","0","-0.4105504266444077","-0.441","0","0","0.5850000000000001","0.42700000000058097","0","0"
"29","31","0.39","2","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.358","0.178","0.1020852713178294","0.06250387596899222","0","0","0.6072457419443106","0.5726798042431602","0","0","0.071","0.097","0","0","-0.42400000000000004","-0.431","0","0","0.6995","0.532","0","0","0.309","0.168","0.16070184097452034","-0.19669143919814527","0","0","0.4771732139747368","0.4469556481701236","0","0","0.34027067355488805","0.029204673092537367","0","0","-0.15136903334798346","-0.75143671959137","0","0","0.55","0.059002170585056746","0","0"
"30","31","0.39","2","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.358","0.178","0.1020852713178294","0.06250387596899222","0","0","0.6072457419443106","0.5726798042431602","0","0","0.071","0.097","0","0","-0.42400000000000004","-0.431","0","0","0.6995","0.532","0","0","0.394","0.205","0.13891472860969675","0.10392248110924675","0","0","0.5610930323751605","0.5075545174873671","0","0","0.5889999999999999","0.427","0","0","-0.292","-0.367","0","0","0.589","0.531","0","0"
"32","31","0.39","2","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.358","0.178","0.1020852713178294","0.06250387596899222","0","0","0.6072457419443106","0.5726798042431602","0","0","0.071","0.097","0","0","-0.42400000000000004","-0.431","0","0","0.6995","0.532","0","0","0","0","0.18029329604372116","0.09822435985258249","0","0","0.024899958721656307","0.0525197608085811","0","0","0.17800000000000002","0.0940000000016799","0","0","0.178","0.09400000000000001","0","0","0.1780000000000035","0.09400016523543131","0","0"
