"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart51c"
"03/29/2022 05:19:23:658 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","use_identity?","id_threshold","boundary","max-ticks","record-each-n-steps","conformity-level","n-neis","p-random","mode","tolerance-level","p-speaking-level","network-change","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","polar_repeats","Y-opinion","draw_id_threshold","model","cut-links-randomly?","record?","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","updating","set-seed?","N-agents","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","sd_op1_start","median_op1_start","lower_op1_start","upper_op1_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","sd_op1_final","median_op1_final","lower_op1_final","upper_op1_final"
"25","91","1","true","0.05","0.29","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.03875968992249","0.8322851954610021","0.8426354868587486","1.1881056201550388","0.098","0.011","-0.3243166771390168","0.2800519582135867","-0.3679976500593385","-0.37155939102156427","-0.3638215099112967"
"18","91","1","true","0.05","0.22","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.093023255813947","0.8511928522177264","0.8635864853775406","1.188953488372093","0.141","0.052","-0.17456309263786207","0.31567560531751077","-0.20917418197255339","-0.2164825209535124","-0.1960511955209795"
"32","91","1","true","0.05","0.36","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12","0.8256482425376952","0.8260547664080045","1.1875","0.125","0.05","0.07864617375023362","0.2626857764881377","0.10439545836475109","0.06516988146723951","0.11595847405826971"
"24","91","1","true","0.05","0.28","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.038759689922479","0.8459022108692016","0.863582987609891","1.1881056201550388","0.106","0.021","-0.27968686715131746","0.29327939677827936","-0.33276904258564705","-0.3361114138647656","-0.3295308481594939"
"27","91","1","true","0.05","0.31","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.255813953488365","0.8415878126781966","0.8623832511833704","1.1914970930232558","0.077","0.01","-0.2093858144977749","0.22731134923655935","-0.237094130362214","-0.23919808995054398","-0.23310102340061134"
"28","91","1","true","0.05","0.32","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.09302325581395","0.8414429103893503","0.8603057488546492","1.188953488372093","0.1","0.018","-0.16807043446828807","0.2534756826691458","-0.19604345096237127","-0.20728842618422508","-0.18044830616889115"
"30","91","1","true","0.05","0.34","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.007751937984498","0.825052776455385","0.8332114544649653","1.1876211240310077","0.112","0.044","-0.05066060155805731","0.25290690502115964","-0.05404031822967936","-0.07898902178119507","-0.029062509884169786"
"7","91","1","true","0.05","0.11","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.000000000000002","0.8315385365074094","0.870630259945057","1.1875","0.37","0.403","0.006447762306116347","0.5022506054663686","0.39946436320616063","-0.5319328386924822","0.40623896481895594"
"21","91","1","true","0.05","0.25","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.627906976744185","0.8484814585375793","0.8725062439915745","1.197311046511628","0.1","0.021","-0.20602755778559664","0.26660565732014446","-0.24264370196164617","-0.2501669352066763","-0.23395787818109742"
"31","91","1","true","0.05","0.35","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.000000000000014","0.8249796142145372","0.8326753689115876","1.1875","0.123","0.059","-0.02861538506791269","0.2571517070394427","-0.015553860667984724","-0.058595310292085624","0.01888004051142821"
"26","91","1","true","0.05","0.3","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.093023255813955","0.8433853103696183","0.860383433209622","1.188953488372093","0.11","0.028","-0.2046918958191144","0.2812155882136188","-0.2493956122764009","-0.2517943932932586","-0.24587726430733312"
"19","91","1","true","0.05","0.23","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.813953488372087","0.8530392422647104","0.8797961082370709","1.200218023255814","0.117","0.036","-0.18399501411456873","0.2836840176887672","-0.22446668434093311","-0.23830056575919623","-0.21035888035995556"
